file,header_replaced,styles_copied,scripts_copied,modals_removed,modal_inserted,search_trigger_added,wand_css_added,wand_scripts_added,fallback_search_added,backup
10-minute-childrens-stories.html,True,32,5,1,1,False,False,9,True,10-minute-childrens-stories.autoPatch.20251106_200847.backup.html
5-minute-bedtime-stories.html,True,32,5,1,1,False,False,10,True,5-minute-bedtime-stories.autoPatch.20251106_200847.backup.html
5-minute-childrens-stories.html,True,32,5,1,1,False,False,9,True,5-minute-childrens-stories.autoPatch.20251106_200847.backup.html
BlanK_HTML.html,True,32,5,1,1,False,False,10,True,BlanK_HTML.autoPatch.20251106_200847.backup.html
Emma_and_the_Surprise_Party.html,True,32,5,1,1,False,False,10,True,Emma_and_the_Surprise_Party.autoPatch.20251106_200847.backup.html
FAQ.html,True,32,5,1,1,False,False,10,True,FAQ.autoPatch.20251106_200847.backup.html
Grumpy_Grandpa_and_the_Silly_Hat.html,True,32,5,1,1,False,False,10,True,Grumpy_Grandpa_and_the_Silly_Hat.autoPatch.20251106_200847.backup.html
Lily_and_the_Blue_Balloon.html,True,32,5,1,1,False,False,10,True,Lily_and_the_Blue_Balloon.autoPatch.20251106_200847.backup.html
Luna's Colorful Garden.html,True,32,5,1,1,False,False,10,True,Luna's Colorful Garden.autoPatch.20251106_200847.backup.html
Luna's_Colorful_Garden.html,True,32,5,1,1,False,False,10,True,Luna's_Colorful_Garden.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/0_3.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/0_3.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/10min.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/10min.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/4_6.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/4_6.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/5min.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/5min.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/7_12.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/7_12.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/Maya's Missing Mittens/story_bell_blank_norotate.html,True,32,5,1,1,False,False,9,True,Maya's Missing Mittens/Maya's Missing Mittens/story_bell_blank_norotate.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/Maya's_Missing_Mittons.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/Maya's_Missing_Mittons.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/about.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/about.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/index_items/index10.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/index_items/index10.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/10min.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/10min.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/10min2 (2).html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/10min2 (2).autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/2.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/2.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/4_7.2.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/4_7.2.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/4_7.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/4_7.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/4_7_custom_block_applied (1).html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/4_7_custom_block_applied (1).autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/5min.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/5min.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/5min2 (2).html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/5min2 (2).autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/8plus.2.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/8plus.2.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/8plus.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/8plus.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/about without footer.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/about without footer.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/about2.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/about2.autoPatch.20251106_200847.backup.html
