file,header_replaced,styles_copied,scripts_copied,modals_removed,modal_inserted,search_trigger_added,wand_css_added,wand_scripts_added,fallback_search_added,backup
Maya's Missing Mittens/otherfiles/about_dropdown_links_updated.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/about_dropdown_links_updated.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/index without footer.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/index without footer.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/index2.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/index2.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/index3.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/index3.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/index4.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/index4.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/index5.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/index5.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/index66.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/index66.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/index_story_links_updated_linked_updated.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/index_story_links_updated_linked_updated.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/lt4.2.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/lt4.2.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/lt4.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/lt4.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/poems.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/poems.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/poems2.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/poems2.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/story_bell_blank.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/story_bell_blank.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/story_bell_blank_norotate-copy.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/story_bell_blank_norotate-copy.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/story_bell_blank_norotate.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/story_bell_blank_norotate.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/story_bell_blank_norotate2 (2).html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/story_bell_blank_norotate2 (2).autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/story_bell_blank_norotate2.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/story_bell_blank_norotate2.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/story_bell_blank_norotate3.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/story_bell_blank_norotate3.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/story_bell_blank_norotate4.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/story_bell_blank_norotate4.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/otherfiles/story_bell_blank_norotatecopy.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/otherfiles/story_bell_blank_norotatecopy.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/poems.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/poems.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/story_bell_blank_norotate.html,True,32,5,1,1,False,False,9,True,Maya's Missing Mittens/story_bell_blank_norotate.autoPatch.20251106_200847.backup.html
Maya's Missing Mittens/story_bell_blank_norotate22.html,True,32,5,1,1,False,False,10,True,Maya's Missing Mittens/story_bell_blank_norotate22.autoPatch.20251106_200847.backup.html
Melody_and_the_Muddy_Puppy.html,True,32,5,1,1,False,False,10,True,Melody_and_the_Muddy_Puppy.autoPatch.20251106_200847.backup.html
Milo_the_Mouse.html,True,32,5,1,1,False,False,10,True,Milo_the_Mouse.autoPatch.20251106_200847.backup.html
OLD HTML/blank.html,True,32,5,1,1,False,False,10,True,OLD HTML/blank.autoPatch.20251106_200847.backup.html
OLD HTML/index_ (1).html,True,32,5,1,1,False,False,9,True,OLD HTML/index_ (1).autoPatch.20251106_200847.backup.html
OLD HTML/index_.html,True,32,5,1,1,False,False,9,True,OLD HTML/index_.autoPatch.20251106_200847.backup.html
OLD HTML/story_bell_blank.html,True,32,5,1,1,False,False,9,True,OLD HTML/story_bell_blank.autoPatch.20251106_200847.backup.html
Owl_in_the_Dark_Forest.html,True,32,5,1,1,False,False,10,True,Owl_in_the_Dark_Forest.autoPatch.20251106_200847.backup.html
Stars_in_My_Window.html,True,32,5,1,1,False,False,10,True,Stars_in_My_Window.autoPatch.20251106_200847.backup.html
The_Brave_Little_Duckling.html,True,32,5,1,1,False,False,10,True,The_Brave_Little_Duckling.autoPatch.20251106_200847.backup.html
The_Case_of_the_Gross_Green_Socks.html,True,32,5,1,1,False,False,10,True,The_Case_of_the_Gross_Green_Socks.autoPatch.20251106_200847.backup.html
The_Lonely_Leaf.html,True,32,5,1,1,False,False,10,True,The_Lonely_Leaf.autoPatch.20251106_200847.backup.html
The_Secret_in_the_Library.html,True,32,5,1,1,False,False,10,True,The_Secret_in_the_Library.autoPatch.20251106_200847.backup.html
The_Tiniest_Rainbow.html,True,32,5,1,1,False,False,10,True,The_Tiniest_Rainbow.autoPatch.20251106_200847.backup.html
Tommy_and_the_Lost_Toy.html,True,32,5,1,1,False,False,10,True,Tommy_and_the_Lost_Toy.autoPatch.20251106_200847.backup.html
about.html,True,32,5,1,1,False,False,10,True,about.autoPatch.20251106_200847.backup.html
back ups/0_3.html,True,32,5,1,1,False,False,9,True,back ups/0_3.autoPatch.20251106_200847.backup.html
back ups/10min.html,True,32,5,1,1,False,False,9,True,back ups/10min.autoPatch.20251106_200847.backup.html
back ups/4_6.html,True,32,5,1,1,False,False,9,True,back ups/4_6.autoPatch.20251106_200847.backup.html
back ups/5min.html,True,32,5,1,1,False,False,9,True,back ups/5min.autoPatch.20251106_200847.backup.html
back ups/7_12.html,True,32,5,1,1,False,False,9,True,back ups/7_12.autoPatch.20251106_200847.backup.html
back ups/indexbackup.html,True,32,5,1,1,False,False,9,True,back ups/indexbackup.autoPatch.20251106_200847.backup.html
back ups/poems.html,True,32,5,1,1,False,False,9,True,back ups/poems.autoPatch.20251106_200847.backup.html
bedtime-stories-about-kindness.html,True,32,5,1,1,False,False,10,True,bedtime-stories-about-kindness.autoPatch.20251106_200847.backup.html
childrens-poems-and-rhymes.html,True,32,5,1,1,False,False,9,True,childrens-poems-and-rhymes.autoPatch.20251106_200847.backup.html
childrens-stories-about-anger.html,True,32,5,1,1,False,False,9,True,childrens-stories-about-anger.autoPatch.20251106_200847.backup.html
childrens-stories-about-disgust.html,True,32,5,1,1,False,False,9,True,childrens-stories-about-disgust.autoPatch.20251106_200847.backup.html
childrens-stories-about-fear.html,True,32,5,1,1,False,False,9,True,childrens-stories-about-fear.autoPatch.20251106_200847.backup.html
childrens-stories-about-happiness.html,True,32,5,1,1,False,False,9,True,childrens-stories-about-happiness.autoPatch.20251106_200847.backup.html
childrens-stories-about-sadness.html,True,32,5,1,1,False,False,9,True,childrens-stories-about-sadness.autoPatch.20251106_200847.backup.html
childrens-stories-about-surprise.html,True,32,5,1,1,False,False,9,True,childrens-stories-about-surprise.autoPatch.20251106_200847.backup.html
childrens-stories-ages-0-3.html,True,32,5,1,1,False,False,9,True,childrens-stories-ages-0-3.autoPatch.20251106_200847.backup.html
childrens-stories-ages-4-6.html,True,32,5,1,1,False,False,9,True,childrens-stories-ages-4-6.autoPatch.20251106_200847.backup.html
childrens-stories-ages-7-12.html,True,32,5,1,1,False,False,9,True,childrens-stories-ages-7-12.autoPatch.20251106_200847.backup.html
educational-bedtime-stories.html,True,32,5,1,1,False,False,10,True,educational-bedtime-stories.autoPatch.20251106_200847.backup.html
faq.html,True,32,5,1,1,False,False,10,True,faq.autoPatch.20251106_200847.backup.html
faq2.html,True,32,5,1,1,False,False,10,True,faq2.autoPatch.20251106_200847.backup.html
free-bedtime-stories-for-kids.html,True,32,5,1,1,False,False,10,True,free-bedtime-stories-for-kids.autoPatch.20251106_200847.backup.html
icon/about.html,True,32,5,1,1,False,False,8,True,icon/about.autoPatch.20251106_200847.backup.html
kids-stories-about-feelings.html,True,32,5,1,1,False,False,10,True,kids-stories-about-feelings.autoPatch.20251106_200847.backup.html
mayas-missing-mittens.html,True,32,5,1,1,False,False,10,True,mayas-missing-mittens.autoPatch.20251106_200847.backup.html
moral-stories-for-kids.html,True,32,5,1,1,False,False,10,True,moral-stories-for-kids.autoPatch.20251106_200847.backup.html
read-aloud-stories-for-children.html,True,32,5,1,1,False,False,10,True,read-aloud-stories-for-children.autoPatch.20251106_200847.backup.html
short-bedtime-stories-for-kids.html,True,32,5,1,1,False,False,10,True,short-bedtime-stories-for-kids.autoPatch.20251106_200847.backup.html
story_bell_blank_norotate.html,True,32,5,1,1,False,False,10,True,story_bell_blank_norotate.autoPatch.20251106_200847.backup.html
under_construction.html,True,32,5,1,1,False,False,10,True,under_construction.autoPatch.20251106_200847.backup.html
