file,header_replaced,styles_copied,scripts_copied,modals_removed,modal_inserted,search_trigger_added,wand_css_added,wand_scripts_added,fallback_search_added,backup
10-minute-childrens-stories.html,True,32,5,0,1,False,False,7,True,10-minute-childrens-stories.autoPatch.20260102_223701.backup.html
5-minute-bedtime-stories.html,True,32,5,0,1,False,False,8,True,5-minute-bedtime-stories.autoPatch.20260102_223701.backup.html
5-minute-childrens-stories.html,True,32,5,0,1,False,False,7,True,5-minute-childrens-stories.autoPatch.20260102_223701.backup.html
BlanK_HTML.html,True,32,5,0,1,False,False,8,True,BlanK_HTML.autoPatch.20260102_223701.backup.html
FAQ.html,True,32,5,1,1,False,False,8,True,FAQ.autoPatch.20260102_223701.backup.html
OLD HTML/blank.html,True,32,5,1,1,False,False,8,True,OLD HTML/blank.autoPatch.20260102_223701.backup.html
OLD HTML/index_ (1).html,True,32,5,1,1,False,False,7,True,OLD HTML/index_ (1).autoPatch.20260102_223701.backup.html
OLD HTML/index_.html,True,32,5,1,1,False,False,7,True,OLD HTML/index_.autoPatch.20260102_223701.backup.html
OLD HTML/story_bell_blank.html,True,32,5,1,1,False,False,7,True,OLD HTML/story_bell_blank.autoPatch.20260102_223701.backup.html
about.html,True,32,5,0,1,False,False,8,True,about.autoPatch.20260102_223701.backup.html
back ups/0_3.html,True,32,5,1,1,False,False,7,True,back ups/0_3.autoPatch.20260102_223701.backup.html
back ups/10min.html,True,32,5,1,1,False,False,7,True,back ups/10min.autoPatch.20260102_223701.backup.html
back ups/4_6.html,True,32,5,1,1,False,False,7,True,back ups/4_6.autoPatch.20260102_223701.backup.html
back ups/5min.html,True,32,5,1,1,False,False,7,True,back ups/5min.autoPatch.20260102_223701.backup.html
back ups/7_12.html,True,32,5,1,1,False,False,7,True,back ups/7_12.autoPatch.20260102_223701.backup.html
back ups/indexbackup.html,True,32,5,1,1,False,False,7,True,back ups/indexbackup.autoPatch.20260102_223701.backup.html
back ups/poems.html,True,32,5,1,1,False,False,7,True,back ups/poems.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/10-minute-childrens-stories.html,True,32,5,1,1,False,False,7,True,backup_before_floating_queue/10-minute-childrens-stories.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/5-minute-bedtime-stories.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/5-minute-bedtime-stories.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/5-minute-childrens-stories.html,True,32,5,1,1,False,False,7,True,backup_before_floating_queue/5-minute-childrens-stories.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/BlanK_HTML.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/BlanK_HTML.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/FAQ.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/FAQ.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/about.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/about.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/bedtime-stories-about-kindness.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/bedtime-stories-about-kindness.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/childrens-poems-and-rhymes.html,True,32,5,1,1,False,False,7,True,backup_before_floating_queue/childrens-poems-and-rhymes.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/childrens-stories-about-anger.html,True,32,5,1,1,False,False,7,True,backup_before_floating_queue/childrens-stories-about-anger.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/childrens-stories-about-disgust.html,True,32,5,1,1,False,False,7,True,backup_before_floating_queue/childrens-stories-about-disgust.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/childrens-stories-about-fear.html,True,32,5,1,1,False,False,7,True,backup_before_floating_queue/childrens-stories-about-fear.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/childrens-stories-about-happiness.html,True,32,5,1,1,False,False,7,True,backup_before_floating_queue/childrens-stories-about-happiness.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/childrens-stories-about-sadness.html,True,32,5,1,1,False,False,7,True,backup_before_floating_queue/childrens-stories-about-sadness.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/childrens-stories-about-surprise.html,True,32,5,1,1,False,False,7,True,backup_before_floating_queue/childrens-stories-about-surprise.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/childrens-stories-ages-0-3.html,True,32,5,1,1,False,False,7,True,backup_before_floating_queue/childrens-stories-ages-0-3.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/childrens-stories-ages-4-6.html,True,32,5,1,1,False,False,7,True,backup_before_floating_queue/childrens-stories-ages-4-6.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/childrens-stories-ages-7-12.html,True,32,5,1,1,False,False,7,True,backup_before_floating_queue/childrens-stories-ages-7-12.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/educational-bedtime-stories.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/educational-bedtime-stories.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/emma-and-the-surprise-party.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/emma-and-the-surprise-party.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/faq(1).html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/faq(1).autoPatch.20260102_223701.backup.html
backup_before_floating_queue/faq2.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/faq2.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/free-bedtime-stories-for-kids.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/free-bedtime-stories-for-kids.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/kids-stories-about-feelings.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/kids-stories-about-feelings.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/lily-and-the-blue-balloon.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/lily-and-the-blue-balloon.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/milo-the-mouse.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/milo-the-mouse.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/moral-stories-for-kids.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/moral-stories-for-kids.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/owl-in-the-dark-forest.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/owl-in-the-dark-forest.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/read-aloud-stories-for-children.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/read-aloud-stories-for-children.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/short-bedtime-stories-for-kids.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/short-bedtime-stories-for-kids.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/stars-in-my-window.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/stars-in-my-window.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/story_bell_blank_norotate.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/story_bell_blank_norotate.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/the-brave-little-duckling.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/the-brave-little-duckling.autoPatch.20260102_223701.backup.html
backup_before_floating_queue/the-case-of-the-gross-green-socks.html,True,32,5,1,1,False,False,8,True,backup_before_floating_queue/the-case-of-the-gross-green-socks.autoPatch.20260102_223701.backup.html
